sample_id,relative_path,kind,profile,label,speaker_id,source_recording_id,split,license,source,subset
utau-maoto-単独音soft-え,../../../../data/raw/reference/utau-samples/maoto/単独音soft/え.wav,human,sustained-vowel,え,maoto,utau-maoto-単独音soft-え,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
utau-maoto-単独音soft-お,../../../../data/raw/reference/utau-samples/maoto/単独音soft/お.wav,human,sustained-vowel,お,maoto,utau-maoto-単独音soft-お,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
utau-maoto-単独音soft-し,../../../../data/raw/reference/utau-samples/maoto/単独音soft/し.wav,human,fricative-noise,し,maoto,utau-maoto-単独音soft-し,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
utau-maoto-単独音soft-す,../../../../data/raw/reference/utau-samples/maoto/単独音soft/す.wav,human,fricative-noise,す,maoto,utau-maoto-単独音soft-す,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音soft/oto.ini,単独音soft
utau-maoto-単独音vivid-あ,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/あ.wav,human,sustained-vowel,あ,maoto,utau-maoto-単独音vivid-あ,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-maoto-単独音vivid-い,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/い.wav,human,sustained-vowel,い,maoto,utau-maoto-単独音vivid-い,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-maoto-単独音vivid-う,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/う.wav,human,sustained-vowel,う,maoto,utau-maoto-単独音vivid-う,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-maoto-単独音vivid-え,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/え.wav,human,sustained-vowel,え,maoto,utau-maoto-単独音vivid-え,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-maoto-単独音vivid-お,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/お.wav,human,sustained-vowel,お,maoto,utau-maoto-単独音vivid-お,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-maoto-単独音vivid-し,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/し.wav,human,fricative-noise,し,maoto,utau-maoto-単独音vivid-し,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-maoto-単独音vivid-す,../../../../data/raw/reference/utau-samples/maoto/単独音vivid/す.wav,human,fricative-noise,す,maoto,utau-maoto-単独音vivid-す,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/maoto/単独音vivid/oto.ini,単独音vivid
utau-はるかぜちゃん-単独音A-あ,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/あ.wav,human,sustained-vowel,あ,はるかぜちゃん,utau-はるかぜちゃん-単独音A-あ,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音A-い,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/い.wav,human,sustained-vowel,い,はるかぜちゃん,utau-はるかぜちゃん-単独音A-い,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音A-う,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/う.wav,human,sustained-vowel,う,はるかぜちゃん,utau-はるかぜちゃん-単独音A-う,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音A-え,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/え.wav,human,sustained-vowel,え,はるかぜちゃん,utau-はるかぜちゃん-単独音A-え,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音A-お,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/お.wav,human,sustained-vowel,お,はるかぜちゃん,utau-はるかぜちゃん-単独音A-お,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音A-し,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/し.wav,human,fricative-noise,し,はるかぜちゃん,utau-はるかぜちゃん-単独音A-し,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音A-す,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音A/す.wav,human,fricative-noise,す,はるかぜちゃん,utau-はるかぜちゃん-単独音A-す,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音A/oto.ini,単独音A
utau-はるかぜちゃん-単独音B-あ,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/あ.wav,human,sustained-vowel,あ,はるかぜちゃん,utau-はるかぜちゃん-単独音B-あ,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-はるかぜちゃん-単独音B-い,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/い.wav,human,sustained-vowel,い,はるかぜちゃん,utau-はるかぜちゃん-単独音B-い,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-はるかぜちゃん-単独音B-う,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/う.wav,human,sustained-vowel,う,はるかぜちゃん,utau-はるかぜちゃん-単独音B-う,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-はるかぜちゃん-単独音B-え,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/え.wav,human,sustained-vowel,え,はるかぜちゃん,utau-はるかぜちゃん-単独音B-え,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-はるかぜちゃん-単独音B-お,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/お.wav,human,sustained-vowel,お,はるかぜちゃん,utau-はるかぜちゃん-単独音B-お,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-はるかぜちゃん-単独音B-し,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/し.wav,human,fricative-noise,し,はるかぜちゃん,utau-はるかぜちゃん-単独音B-し,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-はるかぜちゃん-単独音B-す,../../../../data/raw/reference/utau-samples/はるかぜちゃん/単独音B/す.wav,human,fricative-noise,す,はるかぜちゃん,utau-はるかぜちゃん-単独音B-す,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/はるかぜちゃん/単独音B/oto.ini,単独音B
utau-ろん-単独音-あ,../../../../data/raw/reference/utau-samples/ろん/単独音/あ.wav,human,sustained-vowel,あ,ろん,utau-ろん-単独音-あ,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-ろん-単独音-い,../../../../data/raw/reference/utau-samples/ろん/単独音/い.wav,human,sustained-vowel,い,ろん,utau-ろん-単独音-い,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-ろん-単独音-う,../../../../data/raw/reference/utau-samples/ろん/単独音/う.wav,human,sustained-vowel,う,ろん,utau-ろん-単独音-う,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-ろん-単独音-え,../../../../data/raw/reference/utau-samples/ろん/単独音/え.wav,human,sustained-vowel,え,ろん,utau-ろん-単独音-え,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-ろん-単独音-お,../../../../data/raw/reference/utau-samples/ろん/単独音/お.wav,human,sustained-vowel,お,ろん,utau-ろん-単独音-お,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-ろん-単独音-し,../../../../data/raw/reference/utau-samples/ろん/単独音/し.wav,human,fricative-noise,し,ろん,utau-ろん-単独音-し,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-ろん-単独音-す,../../../../data/raw/reference/utau-samples/ろん/単独音/す.wav,human,fricative-noise,す,ろん,utau-ろん-単独音-す,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/ろん/単独音/oto.ini,単独音
utau-平野文-単独音-あ,../../../../data/raw/reference/utau-samples/平野文/単独音/あ.wav,human,sustained-vowel,あ,平野文,utau-平野文-単独音-あ,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-平野文-単独音-い,../../../../data/raw/reference/utau-samples/平野文/単独音/い.wav,human,sustained-vowel,い,平野文,utau-平野文-単独音-い,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-平野文-単独音-う,../../../../data/raw/reference/utau-samples/平野文/単独音/う.wav,human,sustained-vowel,う,平野文,utau-平野文-単独音-う,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-平野文-単独音-え,../../../../data/raw/reference/utau-samples/平野文/単独音/え.wav,human,sustained-vowel,え,平野文,utau-平野文-単独音-え,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-平野文-単独音-お,../../../../data/raw/reference/utau-samples/平野文/単独音/お.wav,human,sustained-vowel,お,平野文,utau-平野文-単独音-お,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-平野文-単独音-し,../../../../data/raw/reference/utau-samples/平野文/単独音/し.wav,human,fricative-noise,し,平野文,utau-平野文-単独音-し,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-平野文-単独音-す,../../../../data/raw/reference/utau-samples/平野文/単独音/す.wav,human,fricative-noise,す,平野文,utau-平野文-単独音-す,development,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/平野文/単独音/oto.ini,単独音
utau-弟の姉-単独音-あ,../../../../data/raw/reference/utau-samples/弟の姉/単独音/あ.wav,human,sustained-vowel,あ,弟の姉,utau-弟の姉-単独音-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-弟の姉-単独音-い,../../../../data/raw/reference/utau-samples/弟の姉/単独音/い.wav,human,sustained-vowel,い,弟の姉,utau-弟の姉-単独音-い,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-弟の姉-単独音-う,../../../../data/raw/reference/utau-samples/弟の姉/単独音/う.wav,human,sustained-vowel,う,弟の姉,utau-弟の姉-単独音-う,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-弟の姉-単独音-え,../../../../data/raw/reference/utau-samples/弟の姉/単独音/え.wav,human,sustained-vowel,え,弟の姉,utau-弟の姉-単独音-え,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-弟の姉-単独音-お,../../../../data/raw/reference/utau-samples/弟の姉/単独音/お.wav,human,sustained-vowel,お,弟の姉,utau-弟の姉-単独音-お,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-弟の姉-単独音-し,../../../../data/raw/reference/utau-samples/弟の姉/単独音/し.wav,human,fricative-noise,し,弟の姉,utau-弟の姉-単独音-し,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-弟の姉-単独音-す,../../../../data/raw/reference/utau-samples/弟の姉/単独音/す.wav,human,fricative-noise,す,弟の姉,utau-弟の姉-単独音-す,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/弟の姉/単独音/oto.ini,単独音
utau-新井里美-単独音-あ,../../../../data/raw/reference/utau-samples/新井里美/単独音/あ.wav,human,sustained-vowel,あ,新井里美,utau-新井里美-単独音-あ,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-新井里美-単独音-い,../../../../data/raw/reference/utau-samples/新井里美/単独音/い.wav,human,sustained-vowel,い,新井里美,utau-新井里美-単独音-い,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-新井里美-単独音-う,../../../../data/raw/reference/utau-samples/新井里美/単独音/う.wav,human,sustained-vowel,う,新井里美,utau-新井里美-単独音-う,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-新井里美-単独音-え,../../../../data/raw/reference/utau-samples/新井里美/単独音/え.wav,human,sustained-vowel,え,新井里美,utau-新井里美-単独音-え,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-新井里美-単独音-お,../../../../data/raw/reference/utau-samples/新井里美/単独音/お.wav,human,sustained-vowel,お,新井里美,utau-新井里美-単独音-お,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-新井里美-単独音-し,../../../../data/raw/reference/utau-samples/新井里美/単独音/し.wav,human,fricative-noise,し,新井里美,utau-新井里美-単独音-し,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-新井里美-単独音-す,../../../../data/raw/reference/utau-samples/新井里美/単独音/す.wav,human,fricative-noise,す,新井里美,utau-新井里美-単独音-す,holdout,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/新井里美/単独音/oto.ini,単独音
utau-水原薫-単独音-あ,../../../../data/raw/reference/utau-samples/水原薫/単独音/あ.wav,human,sustained-vowel,あ,水原薫,utau-水原薫-単独音-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-い,../../../../data/raw/reference/utau-samples/水原薫/単独音/い.wav,human,sustained-vowel,い,水原薫,utau-水原薫-単独音-い,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-う,../../../../data/raw/reference/utau-samples/水原薫/単独音/う.wav,human,sustained-vowel,う,水原薫,utau-水原薫-単独音-う,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-え,../../../../data/raw/reference/utau-samples/水原薫/単独音/え.wav,human,sustained-vowel,え,水原薫,utau-水原薫-単独音-え,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-お,../../../../data/raw/reference/utau-samples/水原薫/単独音/お.wav,human,sustained-vowel,お,水原薫,utau-水原薫-単独音-お,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-し,../../../../data/raw/reference/utau-samples/水原薫/単独音/し.wav,human,fricative-noise,し,水原薫,utau-水原薫-単独音-し,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-す,../../../../data/raw/reference/utau-samples/水原薫/単独音/す.wav,human,fricative-noise,す,水原薫,utau-水原薫-単独音-す,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音/oto.ini,単独音
utau-水原薫-単独音-light-あ,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/あ.wav,human,sustained-vowel,あ,水原薫,utau-水原薫-単独音-light-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-light-い,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/い.wav,human,sustained-vowel,い,水原薫,utau-水原薫-単独音-light-い,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-light-う,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/う.wav,human,sustained-vowel,う,水原薫,utau-水原薫-単独音-light-う,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-light-え,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/え.wav,human,sustained-vowel,え,水原薫,utau-水原薫-単独音-light-え,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-light-お,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/お.wav,human,sustained-vowel,お,水原薫,utau-水原薫-単独音-light-お,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-light-し,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/し.wav,human,fricative-noise,し,水原薫,utau-水原薫-単独音-light-し,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-light-す,../../../../data/raw/reference/utau-samples/水原薫/単独音-light/す.wav,human,fricative-noise,す,水原薫,utau-水原薫-単独音-light-す,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-light/oto.ini,単独音-light
utau-水原薫-単独音-vivid-あ,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/あ.wav,human,sustained-vowel,あ,水原薫,utau-水原薫-単独音-vivid-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-水原薫-単独音-vivid-い,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/い.wav,human,sustained-vowel,い,水原薫,utau-水原薫-単独音-vivid-い,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-水原薫-単独音-vivid-う,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/う.wav,human,sustained-vowel,う,水原薫,utau-水原薫-単独音-vivid-う,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-水原薫-単独音-vivid-え,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/え.wav,human,sustained-vowel,え,水原薫,utau-水原薫-単独音-vivid-え,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-水原薫-単独音-vivid-お,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/お.wav,human,sustained-vowel,お,水原薫,utau-水原薫-単独音-vivid-お,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-水原薫-単独音-vivid-し,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/し.wav,human,fricative-noise,し,水原薫,utau-水原薫-単独音-vivid-し,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-水原薫-単独音-vivid-す,../../../../data/raw/reference/utau-samples/水原薫/単独音-vivid/す.wav,human,fricative-noise,す,水原薫,utau-水原薫-単独音-vivid-す,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/水原薫/単独音-vivid/oto.ini,単独音-vivid
utau-真田アサミ-単独音-あ,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/あ.wav,human,sustained-vowel,あ,真田アサミ,utau-真田アサミ-単独音-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-い,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/い.wav,human,sustained-vowel,い,真田アサミ,utau-真田アサミ-単独音-い,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-う,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/う.wav,human,sustained-vowel,う,真田アサミ,utau-真田アサミ-単独音-う,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-え,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/え.wav,human,sustained-vowel,え,真田アサミ,utau-真田アサミ-単独音-え,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-お,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/お.wav,human,sustained-vowel,お,真田アサミ,utau-真田アサミ-単独音-お,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-し,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/し.wav,human,fricative-noise,し,真田アサミ,utau-真田アサミ-単独音-し,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-す,../../../../data/raw/reference/utau-samples/真田アサミ/単独音/す.wav,human,fricative-noise,す,真田アサミ,utau-真田アサミ-単独音-す,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音/oto.ini,単独音
utau-真田アサミ-単独音-Boyish-あ,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/あ.wav,human,sustained-vowel,あ,真田アサミ,utau-真田アサミ-単独音-Boyish-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-真田アサミ-単独音-Boyish-い,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/い.wav,human,sustained-vowel,い,真田アサミ,utau-真田アサミ-単独音-Boyish-い,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-真田アサミ-単独音-Boyish-う,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/う.wav,human,sustained-vowel,う,真田アサミ,utau-真田アサミ-単独音-Boyish-う,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-真田アサミ-単独音-Boyish-え,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/え.wav,human,sustained-vowel,え,真田アサミ,utau-真田アサミ-単独音-Boyish-え,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-真田アサミ-単独音-Boyish-お,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/お.wav,human,sustained-vowel,お,真田アサミ,utau-真田アサミ-単独音-Boyish-お,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-真田アサミ-単独音-Boyish-し,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/し.wav,human,fricative-noise,し,真田アサミ,utau-真田アサミ-単独音-Boyish-し,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-真田アサミ-単独音-Boyish-す,../../../../data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/す.wav,human,fricative-noise,す,真田アサミ,utau-真田アサミ-単独音-Boyish-す,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/真田アサミ/単独音-Boyish/oto.ini,単独音-Boyish
utau-転少女（コロスケ）-単独音-あ,../../../../data/raw/reference/utau-samples/転少女（コロスケ）/単独音/あ.wav,human,sustained-vowel,あ,転少女（コロスケ）,utau-転少女（コロスケ）-単独音-あ,calibration,local-research-only; verify source readme before export,research/data/raw/reference/utau-samples/転少女（コロスケ）/単独音/oto.ini,単独音
